group_type,group_value,signal,unit,row_count,non_null_count,missing_count,missing_rate,mean,std,min,p1,p5,p50,p95,p99,max
child_state,idle,maf,g/s,18167,18163,4,0.00022017944624869268,10.069046137752572,4.700348979676086,0.0,1.3610000000000002,6.74,8.38,18.66,22.81180000000011,66.69
child_state,idle,tps,%,18167,18160,7,0.0003853140309352122,81.35208149779736,11.303545873306751,13.7,21.436000000000003,83.1,83.5,83.5,83.5,89.0
child_state,idle,ambient_temp,°C,18167,18157,10,0.0005504486156217317,9.46742303243928,10.842129516690498,-13.0,-10.0,-6.0,6.0,24.0,28.0,32.0
child_state,idle,accel_pedal_d,%,18167,18149,18,0.0009908075081191171,14.755628409278746,2.977946802177777,14.1,14.1,14.1,14.1,17.6,29.4,60.8
child_state,idle,accel_pedal_e,%,18167,18146,21,0.0011559420928056365,15.058332414857269,3.0075054926711524,14.1,14.1,14.5,14.5,17.3,30.2,61.6
child_state,inactive_engine_off,coolant_temp,°C,8773,8773,0,0.0,78.74900262168015,18.056332860823765,-1.0,14.0,44.0,89.0,93.0,94.0,95.0
child_state,inactive_engine_off,map,kPa,8773,8773,0,0.0,95.26011626581557,10.54266522713113,36.0,43.72,69.0,98.0,100.0,100.0,179.0
child_state,inactive_engine_off,rpm,rpm,8773,8773,0,0.0,0.12367491166077739,2.1473536646660207,0.0,0.0,0.0,0.0,0.0,0.0,48.0
child_state,inactive_engine_off,speed,km/h,8773,8773,0,0.0,0.0029636384361107944,0.056419768788545085,0.0,0.0,0.0,0.0,0.0,0.0,2.0
child_state,inactive_engine_off,intake_temp,°C,8773,8771,2,0.00022797218739313804,89.47235206931934,31.991347257638516,-32.0,-1.0,22.0,90.0,136.0,146.0,150.0
child_state,inactive_engine_off,maf,g/s,8773,8766,7,0.0007979026558759832,0.06188113164499202,0.3935550781777791,0.0,0.0,0.0,0.0,0.86,1.16,17.24
child_state,inactive_engine_off,tps,%,8773,8762,11,0.0012538470306622592,84.96844327779046,16.334880167142718,13.7,13.7,54.1,89.0,89.0,89.0,89.0
child_state,inactive_engine_off,ambient_temp,°C,8773,8759,14,0.0015958053117519663,13.665601096015527,10.264628000531397,-12.0,-8.0,-5.0,18.0,25.0,31.0,31.0
child_state,inactive_engine_off,accel_pedal_d,%,8773,8757,16,0.0018237774991451043,14.273678200296903,2.365346332733195,14.1,14.1,14.1,14.1,14.5,19.376000000000204,85.1
child_state,inactive_engine_off,accel_pedal_e,%,8773,8750,23,0.0026216801550210875,14.646457142857143,2.321419126512044,14.1,14.5,14.5,14.5,14.5,19.2,84.3
child_state,steady_driving,coolant_temp,°C,88376,88376,0,0.0,85.75744546030596,12.843410564102525,0.0,27.0,57.0,90.0,92.0,94.0,102.0
child_state,steady_driving,map,kPa,88376,88376,0,0.0,129.1933330315923,26.675046312031945,36.0,94.0,100.0,122.0,187.0,203.0,235.0
child_state,steady_driving,rpm,rpm,88376,88376,0,0.0,1669.3107065266588,354.83931371930345,124.0,877.0,922.0,1675.0,2153.0,2205.0,2842.0
child_state,steady_driving,speed,km/h,88376,88376,0,0.0,82.67559631574183,37.25451903079453,0.0,1.0,9.0,87.0,127.0,130.0,142.0
child_state,steady_driving,intake_temp,°C,88376,88376,0,0.0,16.75880329501222,12.28148600356888,-40.0,-8.0,-3.0,18.0,34.0,40.0,150.0
child_state,steady_driving,maf,g/s,88376,88376,0,0.0,23.159860029872362,11.303418161885475,0.0,7.83,8.44,20.8,45.3,57.19,82.27
child_state,steady_driving,tps,%,88376,88376,0,0.0,81.29916945777134,10.616281472089609,13.7,27.1,83.1,83.5,83.5,83.5,89.0
child_state,steady_driving,ambient_temp,°C,88376,88332,44,0.000497872725626867,10.54697052030974,11.342272057483395,-14.0,-12.0,-8.0,13.0,26.0,30.0,33.0
child_state,steady_driving,accel_pedal_d,%,88376,88376,0,0.0,18.666744364985966,8.818116588056148,14.1,14.1,14.1,14.1,39.6,47.8,77.6
child_state,steady_driving,accel_pedal_e,%,88376,88376,0,0.0,18.98023728161492,8.819893327764525,14.1,14.1,14.5,14.5,40.0,48.6,77.3
child_state,unknown,coolant_temp,°C,13,12,1,0.07692307692307693,30.583333333333332,15.017918590399898,12.0,12.22,13.1,31.0,56.849999999999994,62.57000000000001,64.0
child_state,unknown,map,kPa,13,10,3,0.23076923076923078,98.0,2.8674417556808756,95.0,95.0,95.0,97.5,102.64999999999999,103.73,104.0
child_state,unknown,rpm,rpm,13,6,7,0.5384615384615384,611.0,478.15771456706625,0.0,0.0,0.0,856.0,1008.0,1032.8,1039.0
child_state,unknown,speed,km/h,13,1,12,0.9230769230769231,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child_state,unknown,intake_temp,°C,13,1,12,0.9230769230769231,-8.0,,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
child_state,unknown,maf,g/s,13,1,12,0.9230769230769231,0.86,,0.86,0.86,0.86,0.86,0.86,0.86,0.86
child_state,unknown,tps,%,13,1,12,0.9230769230769231,88.6,,88.6,88.6,88.6,88.6,88.6,88.6,88.6
child_state,unknown,ambient_temp,°C,13,1,12,0.9230769230769231,-9.0,,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
child_state,unknown,accel_pedal_d,%,13,0,13,1.0,,,,,,,,,
child_state,unknown,accel_pedal_e,%,13,0,13,1.0,,,,,,,,,
operating_state,engine_off,coolant_temp,°C,8775,8775,0,0.0,78.73606837606837,18.07521937122391,-1.0,14.0,44.0,88.0,93.0,94.0,95.0
operating_state,engine_off,map,kPa,8775,8775,0,0.0,95.26051282051282,10.541539547888519,36.0,43.739999999999995,69.0,98.0,100.0,100.0,179.0
operating_state,engine_off,rpm,rpm,8775,8775,0,0.0,0.12364672364672365,2.147109721890078,0.0,0.0,0.0,0.0,0.0,0.0,48.0
operating_state,engine_off,speed,km/h,8775,8773,2,0.0002279202279202279,0.0029636384361107944,0.056419768788545085,0.0,0.0,0.0,0.0,0.0,0.0,2.0
operating_state,engine_off,intake_temp,°C,8775,8771,4,0.0004558404558404558,89.47235206931934,31.991347257638516,-32.0,-1.0,22.0,90.0,136.0,146.0,150.0
operating_state,engine_off,maf,g/s,8775,8766,9,0.0010256410256410256,0.06188113164499202,0.3935550781777791,0.0,0.0,0.0,0.0,0.86,1.16,17.24
operating_state,engine_off,tps,%,8775,8762,13,0.0014814814814814814,84.96844327779046,16.334880167142718,13.7,13.7,54.1,89.0,89.0,89.0,89.0
